"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Pyrostegia venusta (Ker-Gawl.) Miers","species","Plantae","alien","null","present","Cook Islands","COK","Pyrostegia venusta","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Pentas lanceolata (Forssk.) Deflers","species","Plantae","alien","null","present","Cook Islands","COK","Pentas lanceolata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Xanthosoma sagittifolium (L.) Schott","species","Plantae","alien","null","present","Cook Islands","COK","Xanthosoma sagittifolium","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]",
"Calliandra haematocephala Hassk.","species","Plantae","alien","null","present","Cook Islands","COK","Calliandra haematocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Calotropis gigantea (L.) W. T. Aiton","species","Plantae","alien","invasive","present","Cook Islands","COK","Calotropis gigantea","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Euphorbia hirta L.","species","Plantae","alien","null","present","Cook Islands","COK","Euphorbia hirta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Cheilocostus speciosus (J.Koenig) C.D.Specht","species","Plantae","alien","invasive","present","Cook Islands","COK","Hellenia speciosa","Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae","[""terrestrial""]",
"Nephrolepis cordifolia (L.) Presl","species","Plantae","alien","null","present","Cook Islands","COK","Nephrolepis cordifolia","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Nephrolepidaceae","[""terrestrial""]",
"Melicoccus bijugatus Jacq.","species","Plantae","alien","null","present","Cook Islands","COK","Melicoccus bijugatus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]",
"Tecoma stans (L.) Juss. ex Kunth","species","Plantae","alien","invasive","present","Cook Islands","COK","Tecoma stans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Cenchrus echinatus L.","species","Plantae","alien","invasive","present","Cook Islands","COK","Cenchrus echinatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Brontispa longissima (Gestro, 1885)","species","Animalia","alien","invasive","present","Cook Islands","COK","Brontispa longissima","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]",
"Sorghum halepense (L.) Pers.","species","Plantae","alien","null","present","Cook Islands","COK","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Axonopus fissifolius (Raddi) Kuhlm.","species","Plantae","alien","null","present","Cook Islands","COK","Axonopus fissifolius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ixora coccinea L.","species","Plantae","alien","null","present","Cook Islands","COK","Ixora coccinea","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Euphorbia hypericifolia L.","species","Plantae","alien","null","present","Cook Islands","COK","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Stachytarpheta jamaicensis (L.) Vahl","species","Plantae","alien","invasive","present","Cook Islands","COK","Stachytarpheta jamaicensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Ormosia monosperma (Sw.) Urb.","species","Plantae","alien","null","present","Cook Islands","COK","Ormosia monosperma","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Cyanthillium cinereum (L.) H. Rob.","species","Plantae","alien","null","present","Cook Islands","COK","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Kyllinga brevifolia Rottb.","species","Plantae","alien","invasive","present","Cook Islands","COK","Kyllinga brevifolia","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Swietenia macrophylla G. King","species","Plantae","alien","null","present","Cook Islands","COK","Swietenia macrophylla","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]",
"Aglaonema commutatum Schott","species","Plantae","alien","null","present","Cook Islands","COK","Aglaonema commutatum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Annona cherimola Mill.","species","Plantae","alien","null","present","Cook Islands","COK","Annona cherimola","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Eriobotrya japonica (Thunb.) Lindl.","species","Plantae","alien","null","present","Cook Islands","COK","Eriobotrya japonica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]",
"Erechtites valerianifolius (Link ex Spreng.) DC.","species","Plantae","alien","null","present","Cook Islands","COK","Erechtites valerianifolius","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Passiflora quadrangularis L.","species","Plantae","alien","null","present","Cook Islands","COK","Passiflora quadrangularis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Jasminum sambac (L.) Aiton","species","Plantae","alien","null","present","Cook Islands","COK","Jasminum sambac","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]",
"Clerodendrum quadriloculare (Blanco) Merr.","species","Plantae","alien","invasive","present","Cook Islands","COK","Clerodendrum quadriloculare","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Duranta erecta L.","species","Plantae","alien","null","present","Cook Islands","COK","Duranta erecta","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Bambusa Schreb.","species","Plantae","alien","invasive","present","Cook Islands","COK","Bambusa sp.","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
