"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Bothriochloa bladhii (Retz.) S.T.Blake","species","Plantae","alien","invasive","present","Fiji","FJI","Bothriochloa bladhii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ficus elastica Roxb.","species","Plantae","alien","null","present","Fiji","FJI","Ficus elastica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]",
"Barleria cristata L.","species","Plantae","alien","invasive","present","Fiji","FJI","Barleria cristata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Sisyrinchium micranthum Cav.","species","Plantae","alien","invasive","present","Fiji","FJI","Sisyrinchium micranthum","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]",
"Cosmos caudatus Kunth","species","Plantae","alien","invasive","present","Fiji","FJI","Cosmos caudatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Bidens pilosa L.","species","Plantae","alien","invasive","present","Fiji","FJI","Bidens pilosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Hemigraphis alternata (Burm.fil.) T.Anders.","species","Plantae","alien","invasive","present","Fiji","FJI","Strobilanthes alternata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Thevetia peruviana Merr.","species","Plantae","alien","invasive","present","Fiji","FJI","Thevetia peruviana","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Axonopus compressus (Sw.) P.Beauv.","species","Plantae","alien","invasive","present","Fiji","FJI","Axonopus compressus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Urochloa glumaris (Trin.) Veldkamp","species","Plantae","alien","invasive","present","Fiji","FJI","Urochloa glumaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Euphorbia cyathophora Murray","species","Plantae","alien","invasive","present","Fiji","FJI","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Casuarina equisetifolia L.","species","Plantae","alien","null","present","Fiji","FJI","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]",
"Datura innoxia Mill.","species","Plantae","alien","invasive","present","Fiji","FJI","Datura innoxia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Trema orientalis Blume","species","Plantae","alien","null","present","Fiji","FJI","Trema orientalis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","[""terrestrial""]",
"Pinus patula Schiede & Deppe ex Schltdl.","species","Plantae","alien","null","present","Fiji","FJI","Pinus patula","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]",
"Cryptostegia grandiflora R.Br.","species","Plantae","alien","invasive","present","Fiji","FJI","Cryptostegia grandiflora","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
