"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Ocimum basilicum L.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Ocimum basilicum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Cenchrus brownii Roem. & Schult.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Cenchrus brownii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Cananga odorata (Lam.) Hook.f. & Thomson","species","Plantae","alien","null","present","Papua New Guinea","PNG","Cananga odorata","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Piaractus brachypomus (Cuvier, 1818)","species","Animalia","alien","invasive","present","Papua New Guinea","PNG","Piaractus brachypomus","Animalia","Chordata","Actinopterygii","Characiformes","Serrasalmidae","[""freshwater""]",
"Alternanthera sessilis (L.) R.Br. ex DC.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Alternanthera sessilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial"",""freshwater""]",
"Pluchea indica (L.) Less.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Pluchea indica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Passiflora foetida L.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Alstonia macrophylla Wall.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Alstonia macrophylla","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Achyranthes aspera L.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Achyranthes aspera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Cenchrus ciliaris L.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Cenchrus ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Clerodendrum paniculatum L.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Clerodendrum paniculatum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Acanthaster planci (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Papua New Guinea","PNG","Acanthaster planci","Animalia","Echinodermata","Asteroidea","Valvatida","Acanthasteridae","[""marine""]",
"Stellaria media (L.) Vill.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Stellaria media","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]",
"Plantago major L.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Plantago major","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]",
"Culex quinquefasciatus Say, 1823","species","Animalia","alien","invasive","present","Papua New Guinea","PNG","Culex quinquefasciatus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]",
"Axonopus compressus (Sw.) P.Beauv.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Axonopus compressus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Digitaria violascens Link","species","Plantae","alien","null","present","Papua New Guinea","PNG","Digitaria violascens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Eriochloa procera C.E.Hubb.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Eriochloa procera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Bidens pilosa L.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Bidens pilosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Elymus repens (L.) Gould","species","Plantae","alien","null","present","Papua New Guinea","PNG","Elymus repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
